source_key,name,url,licence,retrieved
wikidata,Wikidata,https://www.wikidata.org/,CC0-1.0,2026-08-03
wikipedia,English Wikipedia,https://en.wikipedia.org/,CC BY-SA 4.0,2026-08-03
