table_name,row_key,action,source_key
comics,comic:Q1115055,insert,wikidata
comics,comic:Q111550483,insert,wikidata
comics,comic:Q111589326,insert,wikidata
comics,comic:Q111609575,insert,wikidata
comics,comic:Q111609719,insert,wikidata
comics,comic:Q111609745,insert,wikidata
comics,comic:Q111609754,insert,wikidata
comics,comic:Q111610075,insert,wikidata
comics,comic:Q112032159,insert,wikidata
comics,comic:Q1142052,insert,wikidata
comics,comic:Q115411239,insert,wikidata
comics,comic:Q115422697,insert,wikidata
comics,comic:Q115424329,insert,wikidata
comics,comic:Q115453642,insert,wikidata
comics,comic:Q115456059,insert,wikidata
comics,comic:Q115460037,insert,wikidata
comics,comic:Q115466677,insert,wikidata
comics,comic:Q1199721,insert,wikidata
comics,comic:Q125206647,insert,wikidata
comics,comic:Q125216733,insert,wikidata
comics,comic:Q125217308,insert,wikidata
comics,comic:Q125217311,insert,wikidata
comics,comic:Q125217339,insert,wikidata
comics,comic:Q125217379,insert,wikidata
comics,comic:Q125217400,insert,wikidata
comics,comic:Q125217454,insert,wikidata
comics,comic:Q125217460,insert,wikidata
comics,comic:Q125217467,insert,wikidata
comics,comic:Q125241309,insert,wikidata
comics,comic:Q125241339,insert,wikidata
comics,comic:Q125241366,insert,wikidata
comics,comic:Q125241414,insert,wikidata
comics,comic:Q125252681,insert,wikidata
comics,comic:Q125252682,insert,wikidata
comics,comic:Q125252685,insert,wikidata
comics,comic:Q125252687,insert,wikidata
comics,comic:Q125252689,insert,wikidata
comics,comic:Q125253864,insert,wikidata
comics,comic:Q125253869,insert,wikidata
comics,comic:Q128384095,insert,wikidata
comics,comic:Q128797955,insert,wikidata
comics,comic:Q128797956,insert,wikidata
comics,comic:Q128798978,insert,wikidata
comics,comic:Q129261411,insert,wikidata
comics,comic:Q129261607,insert,wikidata
comics,comic:Q129261730,insert,wikidata
comics,comic:Q129261802,insert,wikidata
comics,comic:Q129261808,insert,wikidata
comics,comic:Q138297125,insert,wikidata
comics,comic:Q138331393,insert,wikidata
comics,comic:Q138333079,insert,wikidata
comics,comic:Q138339453,insert,wikidata
comics,comic:Q138340297,insert,wikidata
comics,comic:Q139960375,insert,wikidata
comics,comic:Q139960492,insert,wikidata
comics,comic:Q139960520,insert,wikidata
comics,comic:Q1399747,insert,wikidata
comics,comic:Q175011,insert,wikidata
comics,comic:Q17630593,insert,wikidata
comics,comic:Q2140112,insert,wikidata
comics,comic:Q2270826,insert,wikidata
comics,comic:Q2333872,insert,wikidata
comics,comic:Q2597757,insert,wikidata
comics,comic:Q2822366,insert,wikidata
comics,comic:Q3493447,insert,wikidata
comics,comic:Q3850391,insert,wikidata
comics,comic:Q4020703,insert,wikidata
comics,comic:Q4047029,insert,wikidata
comics,comic:Q4049343,insert,wikidata
comics,comic:Q472166,insert,wikidata
comics,comic:Q533335,insert,wikidata
comics,comic:Q6778190,insert,wikidata
comics,comic:Q688263,insert,wikidata
comics,comic:Q782363,insert,wikidata
comics,comic:Q7880188,insert,wikidata
comics,comic:Q7920166,insert,wikidata
comics,comic:Q7920169,insert,wikidata
comics,comic:Q836822,insert,wikidata
comics,comic:Q944598,insert,wikidata
comics,comic:Q111312491,insert,wikidata
comics,comic:Q111312519,insert,wikidata
comics,comic:Q111333192,insert,wikidata
comics,comic:Q111658456,insert,wikidata
comics,comic:Q111794074,insert,wikidata
comics,comic:Q111794273,insert,wikidata
comics,comic:Q111795406,insert,wikidata
comics,comic:Q111795445,insert,wikidata
comics,comic:Q111801999,insert,wikidata
comics,comic:Q111803014,insert,wikidata
comics,comic:Q111803572,insert,wikidata
comics,comic:Q111803590,insert,wikidata
comics,comic:Q111838198,insert,wikidata
comics,comic:Q111893826,insert,wikidata
comics,comic:Q111910227,insert,wikidata
comics,comic:Q111991793,insert,wikidata
comics,comic:Q111991823,insert,wikidata
comics,comic:Q111991841,insert,wikidata
comics,comic:Q111993510,insert,wikidata
comics,comic:Q111993550,insert,wikidata
comics,comic:Q112032186,insert,wikidata
comics,comic:Q112042756,insert,wikidata
comics,comic:Q112227815,insert,wikidata
comics,comic:Q112228343,insert,wikidata
comics,comic:Q112229108,insert,wikidata
comics,comic:Q112332734,insert,wikidata
comics,comic:Q115337401,insert,wikidata
comics,comic:Q115355213,insert,wikidata
comics,comic:Q115355419,insert,wikidata
comics,comic:Q115357829,insert,wikidata
comics,comic:Q115357991,insert,wikidata
comics,comic:Q115383537,insert,wikidata
comics,comic:Q115383692,insert,wikidata
comics,comic:Q115387349,insert,wikidata
comics,comic:Q115387486,insert,wikidata
comics,comic:Q115407131,insert,wikidata
comics,comic:Q115411171,insert,wikidata
comics,comic:Q115424368,insert,wikidata
comics,comic:Q115433274,insert,wikidata
comics,comic:Q115438213,insert,wikidata
comics,comic:Q115453680,insert,wikidata
comics,comic:Q115454003,insert,wikidata
comics,comic:Q115456440,insert,wikidata
comics,comic:Q115460094,insert,wikidata
comics,comic:Q117199052,insert,wikidata
comics,comic:Q118119712,insert,wikidata
comics,comic:Q118120049,insert,wikidata
comics,comic:Q118419196,insert,wikidata
comics,comic:Q119006532,insert,wikidata
comics,comic:Q119007618,insert,wikidata
comics,comic:Q123401577,insert,wikidata
comics,comic:Q124882349,insert,wikidata
comics,comic:Q138019256,insert,wikidata
comics,comic:Q16386325,insert,wikidata
comics,comic:Q1773074,insert,wikidata
comics,comic:Q18406872,insert,wikidata
comics,comic:Q192724,insert,wikidata
comics,comic:Q19363451,insert,wikidata
comics,comic:Q23010088,insert,wikidata
comics,comic:Q23781129,insert,wikidata
comics,comic:Q27985819,insert,wikidata
comics,comic:Q28408151,insert,wikidata
comics,comic:Q29098265,insert,wikidata
comics,comic:Q4049922,insert,wikidata
comics,comic:Q4598403,insert,wikidata
comics,comic:Q466611,insert,wikidata
comics,comic:Q534208,insert,wikidata
comics,comic:Q55391886,insert,wikidata
comics,comic:Q55405369,insert,wikidata
comics,comic:Q6917754,insert,wikidata
comics,comic:Q734058,insert,wikidata
comics,comic:parsed:Q1115055:110,insert,derived
comics,comic:parsed:Q1115055:123,insert,derived
comics,comic:parsed:Q112032159:19,insert,derived
comics,comic:parsed:Q1142052:6,insert,derived
comics,comic:parsed:Q115453642:180,insert,derived
comics,comic:parsed:Q115466677:195,insert,derived
comics,comic:parsed:Q125206647:134,insert,derived
comics,comic:parsed:Q125253869:15,insert,derived
comics,comic:parsed:Q125253869:18,insert,derived
comics,comic:parsed:Q125253869:2,insert,derived
comics,comic:parsed:Q125253869:36,insert,derived
comics,comic:parsed:Q129261730:1,insert,derived
comics,comic:parsed:Q129261808:1,insert,derived
comics,comic:parsed:Q139960375:98,insert,derived
comics,comic:parsed:Q139960520:178,insert,derived
comics,comic:parsed:Q2140112:1,insert,derived
comics,comic:parsed:Q2270826:83,insert,derived
comics,comic:parsed:Q2333872:1,insert,derived
comics,comic:parsed:Q2333872:2,insert,derived
comics,comic:parsed:Q2597757:1,insert,derived
comics,comic:parsed:Q2597757:2,insert,derived
comics,comic:parsed:Q2597757:3,insert,derived
comics,comic:parsed:Q2597757:4,insert,derived
comics,comic:parsed:Q2822366:20,insert,derived
comics,comic:parsed:Q3850391:15,insert,derived
comics,comic:parsed:Q6778190:32,insert,derived
comics,comic:parsed:Q688263:1,insert,derived
comics,comic:parsed:Q782363:39,insert,derived
comics,comic:parsed:Q782363:45,insert,derived
comics,comic:parsed:Q782363:52,insert,derived
comics,comic:parsed:Q7880188:4,insert,derived
comics,comic:parsed:Q7920166:1,insert,derived
comics,comic:parsed:Q7920166:2,insert,derived
comics,comic:parsed:Q7920166:3,insert,derived
comics,comic:parsed:Q7920166:4,insert,derived
comics,comic:parsed:Q7920166:5,insert,derived
comics,comic:parsed:Q7920166:6,insert,derived
comics,comic:parsed:Q7920169:1,insert,derived
comics,comic:parsed:Q7920169:2,insert,derived
comics,comic:parsed:Q7920169:3,insert,derived
comics,comic:parsed:Q7920169:4,insert,derived
comics,comic:parsed:Q944598:101,insert,derived
comics,comic:parsed:Q944598:102,insert,derived
comics,comic:parsed:Q944598:113,insert,derived
comics,comic:parsed:Q944598:121,insert,derived
comics,comic:parsed:Q944598:122,insert,derived
comics,comic:parsed:Q944598:140,insert,derived
comics,comic:parsed:Q944598:149,insert,derived
comics,comic:parsed:Q944598:194,insert,derived
comics,comic:parsed:Q944598:209,insert,derived
comics,comic:parsed:Q944598:210,insert,derived
comics,comic:parsed:Q944598:238,insert,derived
comics,comic:parsed:Q944598:265,insert,derived
comics,comic:parsed:Q944598:299,insert,derived
comics,comic:parsed:Q944598:334,insert,derived
comics,comic:parsed:Q944598:335,insert,derived
comics,comic:parsed:Q944598:336,insert,derived
comics,comic:parsed:Q944598:337,insert,derived
comics,comic:parsed:Q944598:338,insert,derived
comics,comic:parsed:Q944598:339,insert,derived
comics,comic:parsed:Q944598:344,insert,derived
comics,comic:parsed:Q944598:345,insert,derived
comics,comic:parsed:Q944598:346,insert,derived
comics,comic:parsed:Q944598:347,insert,derived
