id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
338,Q5297058,Doom 2099,fictional character from Marvel Comics,Doom 2099,comics character; cyborg in a work of fiction,male,,Earth-616,,John Francis Moore; Pat Broderick
339,Q5318067,Dweller-in-Darkness,marvel Comics fictional character,Dweller-in-Darkness,comics character,,,Earth-616,,
340,Q534889,Hercules,fictional character in Marvel Comics,Hercules (Marvel Comics),fictional human hybrid; comics character,male,,Earth-616,,
341,Q5350072,Jean Grey,fictional character in Marvel Comics,Jean Grey,mutant; animated character; film character; comics character,female,,Earth-616,X-Men #1,Stan Lee
342,Q5377360,Enforcers,fictional comic book team,Enforcers (comics),fictional organization,,,Earth-616,,
343,Q5388669,Erik Killmonger,Marvel Comics supervillain,Erik Killmonger,comics character; fictional human,male,,Earth-616,,
344,Q540442,Milla Donovan,fictional character in Marvel Comics,Milla Donovan,fictional human; comics character,female,,Earth-616,,Brian Michael Bendis; Alex Maleev
345,Q5441790,Felicity Hardy,fictional character in Marvel Comics,Felicity Hardy,fictional human; comics character,female,,Marvel Comics 2,,Tom DeFalco; Pat Olliffe
346,Q5443580,Fenris Wolf,Marvel comic character based on the Norse wolf,Fenris Wolf (Marvel Comics),comics character; fictional wolf,male,,Earth-616,,Stan Lee; Jack Kirby
347,Q5459730,Flipside,villain in Marvel Comics,Flipside (comics),comics character,,,Earth-616,,
348,Q5516076,Gabrielle Haller,fictional character in Marvel Comics,Gabrielle Haller,fictional human; comics character; animated character,female,,Earth-616,Uncanny X-Men #161,Chris Claremont; Dave Cockrum
349,Q5517781,Galacta,"fictional character from Marvel Comics, daughter of Galactus",,comics character,female,,Earth-616,,Adam Warren
350,Q55607777,Cletus Kasady,Marvel Comics fictional character,Cletus Kasady,comics character; animated character; fictional human; video game character; film character,male,,Earth-616,,David Michelinie; Erik Larsen
351,Q5570029,Glob,multiple fictional characters in the Marvel Comics universe,Glob (comics),comics character,,,Earth-616,,
352,Q55938790,Bonesaw McGraw,fictional wrestler from Spider-Man,,fictional human; film character,male,,Earth-96283,,David Koepp
353,Q568267,Viper,fictional character in Marvel Comics,Viper (Madame Hydra),mutate; animated character; film character; television character,female,,Earth-616,,Jim Steranko; Stan Lee
354,Q57013559,Magda Lehnsherr,fictional character in Marvel Comics,,comics character; fictional human; film character,female,,Earth-616,,David Michelinie; Mark Gruenwald; Steven Grant; John Byrne
355,Q57022061,Anya Eisenhardt,fictional character in Marvel Comics,,comics character; fictional human; film character,female,,Earth-616,,
356,Q576524,Baron Strucker,fictional character in Marvel Comics,Baron Strucker,comics character; film character; fictional human,male,,Earth-616,,Stan Lee; Jack Kirby
357,Q577086,Sin,character from Marvel Comics,Sin (Marvel Comics),mutate; comics character,female,,Earth-616,,J. M. DeMatteis
358,Q580822,Titania,fictional character in Marvel Comics,Titania (Marvel Comics),mutate,female,,Earth-616,Marvel Super Heroes Secret Wars #3,Jim Shooter; Mike Zeck
359,Q59644,Domino,fictional character in Marvel Comics,Domino (character),mutant; animated character; film character,female,,Earth-616,,Fabian Nicieza; Rob Liefeld
360,Q60002,Colossus,fictional character in Marvel Comics,Colossus (character),mutant; animated character; film character; CGI character,male,,Earth-616,Giant-Size X-Men #1,Len Wein
361,Q60146,Abomination,fictional character in Marvel Comics,Abomination (character),mutate; gamma mutate,male,,Earth-616,,Stan Lee; Gil Kane
362,Q60464931,Peter Parker,"character in the Sam Raimi Spider-Man film series, portrayed by Tobey Maguire",Peter Parker (2002 film series character),film character; fictional human; video game character; mutate,male,,Earth-96283,,David Koepp
363,Q60464979,Harry Osborn,2002-2007 Spider-Man film series character,Harry Osborn (2002 film series character),fictional human; film character; mutate,male,,Earth-96283,,David Koepp
364,Q60484975,Aaron Davis,fictional character in Marvel Comics,,fictional human; film character; comics character,,,Earth-1610,,Brian Michael Bendis; Sara Pichelli
365,Q60549183,Marlene Alraune,fictional human character appearing in American comic books published by Marvel Comics,Marlene Alraune,fictional human,female,,,,
366,Q6151029,Torunn,,,comics character,female,,Earth-616,,
367,Q615226,Uatu,fictional character in Marvel Comics,Uatu,Watcher; comics character; animated character,male,,Earth-616,,Stan Lee; Jack Kirby
368,Q616633,Betty Ross,fictional character in Marvel Comics,Betty Ross,harpy in a work of fiction; comics character; animated character; film character; gamma mutate,female,,Earth-616,Incredible Hulk #1,Stan Lee; Jack Kirby
369,Q6178488,Jennifer Kale,fictional character in Marvel Comics,Jennifer Kale,comics character; fictional human,female,,Earth-616,,
370,Q63761127,Otto Octavius,2002-2007 Spider-Man film series character,Otto Octavius (film character),film character; fictional human,male,,Earth-96283,Spider-Man 2,Alvin Sargent
371,Q63761182,Eddie Brock,2002-2007 Spider-Man film series character,,fictional human; film character; Symbiote; mutate,male,,Earth-96283,Spider-Man 3,Sam Raimi; Alvin Sargent
372,Q6404004,Kiber the Cruel,,,fictional human,male,,Earth-616,,
373,Q645718,Morgan le Fay,fictional character in Marvel Comics,Morgan le Fay (Marvel Comics),fictional human; comics character,female,,Earth-616,,
374,Q64658380,Carol Danvers,fictional character from the Marvel Cinematic Universe,Carol Danvers (Marvel Cinematic Universe),film character; fictional human,female,,Marvel Cinematic Universe,Captain Marvel,
375,Q647315,Crossbones,fictional character in Marvel Comics,Crossbones (character),fictional human; comics character,male,,Earth-616,,
376,Q6497975,Laufey,comic book character,Laufey (character),comics character,male,,Earth-616,,
377,Q65117523,Peter Parker,superhero developed and created by Insomniac Games,Peter Parker (Insomniac Games character),mutate; video game character,male,,,,
378,Q6513617,Lee Forrester,fictional character in Marvel Comics,Lee Forrester,comics character; fictional human,female,,Earth-616,Uncanny X-Men #143,Chris Claremont; John Byrne
379,Q653898,Alyosha Kravinoff,fictional character in Marvel Comics,Kraven the Hunter (Alyosha Kravinoff),mutant,male,,Earth-616,,
380,Q654551,Wrecker,"fictional character in Marvel Comics, introduced in 1968",Wrecker (comics),fictional human; comics character,male,,Earth-616,,Stan Lee; Jack Kirby
381,Q6662949,Llyra,fictional character,Llyra,mutant; comics character,female,,Earth-616,,
382,Q669916,Nitro,fictional comic book villain,Nitro (character),mutate,male,,Earth-616,,
383,Q672591,Falcon,fictional character in Marvel Comics,Falcon (comics),comics character; fictional human,male,,Earth-616,,
384,Q6726329,Madame Sanctity,fictional character in Marvel Comics,Madame Sanctity,mutant,female,,Earth-616,,
385,Q6726576,Madcap,fictional character in Marvel Comics,Madcap (comics),mutate,male,,Earth-616,,Mark Gruenwald; Paul Neary
386,Q6729338,Maestro,fictional character in Marvel Comics,Maestro (character),mutate; comics character; gamma mutate,male,,Earth-616,,
387,Q6746231,Man Mountain Marko,Marvel Comics supervillain,Man Mountain Marko,mutate; comics character,,,Earth-616,,
388,Q6785042,Master Khan,comics character,Master Khan,comics character,,,Earth-616,,
389,Q6818707,Mercy,fictional supervillain in the Marvel Universe,Mercy (comics),comics character,female,,Earth-616,,
390,Q6842189,Midgard Serpent,fictional character in Marvel comics,Midgard Serpent (Marvel Comics),comics character,male organism,,Earth-616,,
391,Q6904213,Montana,fictional character in Marvel Comics,Montana (character),fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #10,Stan Lee; Steve Ditko
392,Q6911845,Morgan Stark,fictional character in Marvel Comics,Morgan Stark,fictional human; comics character; film character,male,,Marvel Cinematic Universe,,Don Heck; Al Hartley
393,Q6979927,Native,comics character,Native (character),mutant,female,,Earth-616,,
394,Q7045734,Noble Kale,,Noble Kale,comics character,male,,Earth-616,,Howard Mackie
395,Q7053134,Normie Osborn,fictional character in Marvel Comics,Normie Osborn,comics character,male,,Earth-616,,
396,Q7080283,Ogun,comics character,Ogun (comics),comics character,,,Earth-616,,
397,Q71067619,Kenuichio Harada,comics character,Kenuichio Harada,comics character; mutant; animated character; film character,male,,Earth-616,,Steve Gerber; Bob Brown
398,Q7248194,Professor Thorton,fictional character,Professor Thorton,comics character; fictional human,male,,Earth-616,,Barry Windsor-Smith
399,Q7292400,Randy Robertson,fictional character in Marvel Comics,Randy Robertson (character),fictional human; comics character,male,,Earth-616,The Amazing Spider-Man #67,Stan Lee; John Romita Sr.
400,Q7296820,Ravonna Renslayer,fictional character,Ravonna,comics character; television character,female,,Marvel Cinematic Universe,,
401,Q734861,Valeria Richards,fictional character in Marvel Comics,Valeria Richards,fictional human; comics character,female,,Earth-616,,Rafael Marín; Tom Grummett
402,Q73544,Mockingbird,fictional character in Marvel Comics,Mockingbird (Marvel Comics),mutate; television character,female,,Earth-616; Marvel Cinematic Universe,,Len Wein; Neal Adams
403,Q735721,Green Goblin,name used by numerous fictional characters in Marvel Comics,Green Goblin,set of comics characters; persona in a work of fiction; film character,male,,Earth-616,,Stan Lee; Steve Ditko
404,Q737236,Mystique,fictional character in Marvel Comics,Mystique (character),mutant; film character; animated character,female,,Earth-616,,Chris Claremont; Dave Cockrum
405,Q7372377,Roxanne Simpson,fictional character in Marvel Comics,Roxanne Simpson,fictional human; comics character; film character,female,,Earth-616,,Gary Friedrich; Mike Ploog
406,Q740257,Wizard,fictional character in Marvel Comics,Wizard (Marvel Comics),fictional human; comics character,male,,Earth-616,,Stan Lee; Larry Lieber; Jack Kirby
407,Q741279,Madelyne Pryor,fictional character in Marvel Comics,Madelyne Pryor,fictional clone; mutant,female,,Earth-616,Uncanny X-Men #168,Chris Claremont; Paul Smith
408,Q7487249,Shalla-Bal,fictional character in Marvel Comics,Shalla-Bal,comics character; fictional humanoid extraterrestrial,female,,Earth-616,,Jack Kirby; Stan Lee
409,Q7497450,Shingen Yashida,fictional character in Marvel Comics,Shingen Yashida,comics character; fictional human; animated character; film character,male,,Earth-616,,
410,Q7562380,Sons of the Serpent,fictional comic book group,Sons of the Serpent,group of fictional characters,,,Earth-616,,
411,Q7653886,Swarm,fictional character in Marvel Comics,Swarm (Marvel Comics),comics character; mutate,,,Earth-616,,Bill Mantlo; John Byrne
412,Q771054,Larry Trask,fictional character in Marvel Comics,Larry Trask (comics),mutant,male,,Earth-616,X-Men #57,Roy Thomas; Neal Adams
413,Q773035,Howard Stark,fictional character in Marvel Comics,Howard Stark,fictional human; comics character,male,,Earth-616,,Archie Goodwin; Don Heck
414,Q7791911,Thomas Logan,comics character,Thomas Logan,comics character; fictional human; film character,male,,Earth-616,,Bill Jemas; Paul Jenkins; Joe Quesada; Andy Kubert
415,Q780488,Commander Kraken,fictional character in Marvel Comics,Commander Kraken,fictional human; cyborg in a work of fiction,male,,Earth-616,,Roy Thomas; Sal Buscema
416,Q7855000,Turk Barrett,fictional character in Marvel Comics,Turk Barrett,comics character,male,,Earth-616,,
417,Q7860164,Tyler Stone,fictional character in Marvel Comics,,comics character; fictional human,male,,Earth-616,,Peter David; Rick Leonardi
418,Q7880226,Nick Fury,character from the Ultimate Marvel universe,Nick Fury (Ultimate Marvel character),comics character,male,,Earth-616,,Brian Michael Bendis; Mike Allred
419,Q7880273,Ultimate Wolverine,superhero appearing in Marvel Comics,Wolverine (Ultimate Marvel character),mutant; comics character,male,,Earth-1610,,Mark Millar; Adam Kubert
420,Q7914646,Vanessa Fisk,fictional character in Marvel Comics,Vanessa Fisk,fictional human; comics character; animated character,female,,Earth-616,,Stan Lee; John Romita Sr.
421,Q8000827,Wild Thing,fictional character in Marvel Comics,Wild Thing (comics),mutant,female,,Earth-616,,
422,Q8054873,Yon-Rogg,fictional supervillain,Yon-Rogg,comics character; Kree,male,,Earth-616,,
423,Q8060735,Yukio,fictional character in Marvel Comics,Yukio (comics),comics character; fictional human; animated character; film character,female,,Earth-616,,
424,Q8073711,Zom,comics character,,comics character,,,Earth-616,,
425,Q81787,Scott Lang,fictional character in Marvel Comics,Ant-Man (Scott Lang),fictional human; comics character,male,,Earth-616,,
426,Q841372,Juggernaut,fictional character in Marvel Comics,Juggernaut (character),comics character; mutate; animated character; film character; CGI character,male,,Earth-616,X-Men #12,Stan Lee; Jack Kirby; Alex Toth
427,Q849818,Hobgoblin,fictional character in Marvel Comics,Hobgoblin (Marvel Comics),mutate; set of comics characters; comics character,,,Earth-616,,
428,Q858901,Cassandra Nova,comic character,Cassandra Nova,comics character,female,,Earth-616,,Grant Morrison
429,Q898039,Drax the Destroyer,fictional character in Marvel Comics,Drax the Destroyer,comics character; mutate,male,,Earth-616,,
430,Q898201,Silver Samurai,fictional character in Marvel Comics,Silver Samurai,mutant; animated character; film character,male,,Earth-616,,
431,Q910204,Thing,fictional character in Marvel Comics,Thing (Marvel Comics),mutate; comics character; film character; animated character,male,,Earth-616,Fantastic Four #1,Stan Lee; Jack Kirby
432,Q913359,Elektra,fictional character in Marvel Comics,Elektra (character),fictional human; comics character; film character,female,,Earth-616,,Frank Miller
433,Q927598,Mar-Vell,superhero appearing in Marvel Comics publications and related media,Captain Marvel (Mar-Vell),comics character; Kree,male,,Earth-616,,
434,Q929273,Quicksilver,fictional character in Marvel Comics,Quicksilver (Marvel Comics),comics character; speedster; animated character; film character,male,,Earth-616,X-Men #4,Stan Lee; Jack Kirby
435,Q929285,Scarlet Witch,fictional character in Marvel Comics,Scarlet Witch,mutate,female,,Earth-616,X-Men #4,Stan Lee; Jack Kirby
436,Q930794,Mentor,fictional character in Marvel Comics,Mentor (A'lars),Eternal; fictional humanoid extraterrestrial,male,,Earth-616,,Mike Friedrich; Jim Starlin
437,Q9311511,Roderick Kingsley,fictional character in Marvel Comics,Roderick Kingsley,comics character; animated character; mutate,male,,Earth-616,,Roger Stern; Mike Zeck; John Romita Jr.
438,Q936542,Pepper Potts,fictional character in Marvel Comics,Pepper Potts,comics character; fictional human,female,,Earth-616,,Stan Lee
439,Q944173,Nuke,fictional character in Marvel Comics,Nuke (Marvel Comics),mutate; television character,male,,Earth-616,,Frank Miller; David Mazzucchelli
440,Q955796,Jigsaw,fictional character in Marvel Comics,Jigsaw (Marvel Comics),comics character; film character; television character; fictional human,male,,Earth-616,,Len Wein; Ross Andru
441,Q962140,U-Foes,supervillain team,U-Foes,supervillain team,,,Earth-616,,Bill Mantlo
442,Q96379736,Gorr the God Butcher,Marvel Comics supervillain,Gorr the God Butcher,fictional humanoid extraterrestrial; comics character; film character,male,,Earth-616; Marvel Cinematic Universe,,Jason Aaron; Esad Ribić
443,Q965099,Clay Quartermain,fictional character in Marvel Comics,Clay Quartermain,comics character; fictional human,male,,Earth-616,,
444,Q978851,Radioactive Man,fictional character in Marvel Comics,Radioactive Man (comics),mutate,male,,Earth-616,,Stan Lee; Robert Bernstein; Jack Kirby
445,Q98454793,Peter Parker,fictional character in Marc Webb's Amazing Spider-Man films,Peter Parker (The Amazing Spider-Man film series),film character; fictional human; mutate; video game character,male,,Earth-120703,,
446,Q98454800,Gwen Stacy,fictional character in Marc Webb's Amazing Spider-Man films,Gwen Stacy (The Amazing Spider-Man film series),film character; fictional human; video game character,female,,Earth-120703,,
