id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
181,Q2620643,Baron Zemo,name of several fictional supervillians in Marvel Comics,Baron Zemo,set of comics characters,male,,Earth-616,,
182,Q2624716,Franklin Richards,fictional character in Marvel Comics,Franklin Richards (character),mutate,male,,Earth-616,,Stan Lee; Jack Kirby
183,Q2624726,Hood,Marvel character,The Hood (Marvel Comics),comics character; fictional human,male,,Earth-616,,Brian K. Vaughan; Kyle Hotz; Eric Powell
184,Q2628556,Puma,fictional character in Marvel Comics,Puma (character),mutate; comics character,male,,Earth-616,,Tom DeFalco; Ron Frenz
185,Q2633496,Bushwacker,fictional character in Marvel Comics,Bushwacker (comics),mutant; cyborg in a work of fiction,male,,Earth-616,,Ann Nocenti; Rick Leonardi
186,Q2639507,Shuma-Gorath,Marvel Comics villain,Shuma-Gorath,comics character; fictional demon; many-angled one,,,Earth-616,,
187,Q2642022,Azazel,fictional character in Marvel Comics,Azazel (Marvel Comics),mutant; film character,male,,Earth-616,,
188,Q2642342,Ego the Living Planet,fictional character in Marvel Comics,Ego the Living Planet,fictional planet; anthropomorphic character; comics character,male,,Earth-616,,Stan Lee; Jack Kirby
189,Q2657400,Toxin,Fiction caracter of Marvel Comics part of the symbionts of the family of Venom,Toxin (character),fictional human; comics character,male,,Earth-616,,
190,Q2658347,Daken,fictional character in Marvel Comics,Daken,mutant; comics character,male,,Earth-616,,Daniel Way; Steve Dillon
191,Q2663969,Arnim Zola,supervillain appearing in Marvel Comics publications and related media,Arnim Zola,comics character; fictional uploaded consciousness,male,,Earth-616,,
192,Q2664416,Justin Hammer,fictional character in Marvel Comics,Justin Hammer,fictional human; comics character,male,,Earth-616,,David Michelinie; Bob Layton
193,Q2671468,Gladiator,"fictional character in Marvel Comics, introduced in 1966",Gladiator (Melvin Potter),fictional human; comics character,male,,Earth-616,,Stan Lee; John Romita Sr.
194,Q2703749,Klaw,fictional character in Marvel Comics,Klaw (character),fictional human; comics character; mutate,male,,Earth-616,,
195,Q27132943,Cottonmouth,comics character,Cottonmouth (Cornell Stokes),character; television character,male,,Marvel Cinematic Universe,,
196,Q2721134,Nebula,fictional character in Marvel Comics,Nebula (character),fictional humanoid extraterrestrial; comics character,female,,Earth-616,,Roger Stern; John Buscema
197,Q2721152,Gamora,fictional character in Marvel Comics,Gamora,fictional humanoid extraterrestrial; comics character,female,,Earth-616,,Jim Starlin
198,Q2723286,Dark Beast,fictional character in Marvel Comics,Dark Beast (Marvel Comics),mutant,male,,Earth-616; Earth-295,,Scott Lobdell; Roger Cruz
199,Q2731643,New Warriors,fictional team from Marvel Comics,New Warriors,group of fictional characters,,Marvel Comics,Earth-616,,
200,Q2735212,Living Tribunal,fictional character in Marvel Comics,Living Tribunal,abstract entity; supernatural being in a work of fiction; comics character,male,,Multiverse,,
201,Q2746596,Ulik,fictional character appearing in American comic books,Ulik,comics character,male,,Earth-616,,
202,Q2749614,Tyrannus,fictional character in Marvel Comics,Tyrannus (comics),fictional human; comics character,male,,Earth-616,Incredible Hulk #5,Stan Lee; Jack Kirby
203,Q2790757,Zeke Stane,Marvel Comics character; son of Obadiah Stane and enemy of Iron Man,Zeke Stane,fictional human; television character,male,,Earth-616; Marvel Cinematic Universe,,
204,Q27986209,Helmut Zemo,fictional character in Marvel Comics,Helmut Zemo,fictional human; comics character,male,,Earth-616,,Roy Thomas; Tony Isabella; Sal Buscema
205,Q28006858,Bucky Barnes,fictional character in Marvel Comics,Bucky Barnes,fictional human; comics character,male,,Earth-616,Captain America Comics #1,
206,Q2821619,Abigail Brand,fictional character in Marvel Comics,Abigail Brand,mutant; extraterrestrial–human hybrid in a work of fiction,female,,Earth-616,,Joss Whedon; John Cassaday
207,Q2823008,Achebe,fictional supervillain appearing in Marvel Comics,Achebe (character),comics character,male,,Earth-616,,
208,Q2842673,Amelia Voght,fictional character in Marvel Comics,Amelia Voght,mutant; animated character,female,,Earth-616,,Scott Lobdell; John Romita Jr.
209,Q288516,Ultimate Iron Man,Ultimate Marvel version of the fictional superhero Iron Man,Iron Man (Ultimate Marvel character),mutant; fictional human; cyborg in a work of fiction; comics character,male,,Earth-1610,,Brian Michael Bendis; Mike Allred
210,Q2886408,Carl Mach,fictional supervillain in Marvel comics,Carl Mach,comics character,male,,Earth-616,,Ron Lim; David Michelinie
211,Q2900730,Bi-Beast,comics character,Bi-Beast,comics character; fictional android,male,,Earth-616,,
212,Q2906990,Bloodscream,comic book character,Bloodscream,vampire in Marvel Universe; comics character,male,,Earth-616,,
213,Q29097098,Doomsday Man,comics character,Doomsday Man,character,,,Earth-616,,
214,Q2915396,Titanium Man,fictional comic book character,Titanium Man,fictional human; comics character,male,,Earth-616,,
215,Q2928024,Bullet,fictional character in Marvel Comics,Bullet (Marvel Comics),mutate,male,,Earth-616,,Ann Nocenti; John Romita Jr.
216,Q2962576,Chemistro,name of multiple characters in Marvel comics,Chemistro,fictional human; comics character,,,Earth-616,,
217,Q2998614,Cottonmouth,fictional character in Marvel Comics,Cottonmouth (Burchell Clemens),mutate,male,,Earth-616,,Len Wein; George Tuska
218,Q3008124,Cyber,fictional character in Marvel Comics,Cyber (Marvel Comics),mutant; cyborg in a work of fiction,male,,Earth-616,,Peter David; Sam Kieth
219,Q3020765,Deathbird,fictional character in Marvel Comics,Deathbird,mutant; Shi'ar; comics character,female,,Earth-616,,Chris Claremont; Dave Cockrum
220,Q302534,Mister Sinister,fictional character in Marvel Comics,Mister Sinister,comics character; mutate; animated character,male,,Earth-616,,Chris Claremont
221,Q3029214,In-Betweener,fictional character in Marvel Comics,In-Betweener,abstract entity; comics character,male,,Earth-616,,Jim Starlin
222,Q30315324,Baron Zemo,"fictional character in Marvel Comics, introduced in 1964",Heinrich Zemo,fictional human; comics character,male,,Earth-616,The Avengers #4,Stan Lee; Jack Kirby
223,Q3031868,Spot,fictional character in Marvel Comics,Spot (Marvel Comics),comics character; mutate,male,,Earth-616,,
224,Q3032140,Gremlin,character in Marvel Comics,Gremlin (comics),mutant,,,Earth-616,,
