identity_id,relation,other_name,other_identity_id,other_wikidata_id
43,enemy,Peter Parker / Spider-Man,27,Q79037
43,enemy,Daredevil,8,Q327553
43,enemy,Robbie Robertson,227,Q944573
43,child,Janice Lincoln,142,Q16203548
44,spouse,Aunt May,1,Q2453332
45,enemy,Peter Parker / Spider-Man,27,Q79037
46,enemy,Sabretooth,,Q431862
46,enemy,Romulus,,Q1628510
46,enemy,Lady Deathstrike,,Q2448071
46,enemy,Baron Strucker,,Q576524
46,enemy,Silver Samurai,,Q898201
46,enemy,Omega Red,,Q2420335
46,enemy,William Stryker,,Q2551564
46,enemy,Bloodscream,,Q2906990
46,enemy,Cyber,,Q3008124
46,enemy,Geist,,Q3100198
46,enemy,Kenuichio Harada,,Q71067619
46,enemy,Ogun,,Q7080283
46,enemy,Viper,,Q568267
46,enemy,Shingen Yashida,,Q7497450
46,enemy,Gorgon,,Q3111031
46,enemy,Professor Thorton,,Q7248194
46,father,Thomas Logan,,Q7791911
46,spouse,Viper,,Q568267
46,child,Daken,,Q2658347
46,child,Amiko Kobayashi,,Q4746268
46,child,X-23,,Q1872439
46,child,Gabby Kinney,,Q110147974
46,child,Wild Thing,,Q8000827
46,partner,Jean Grey,,Q5350072
46,partner,Storm (Ororo Munroe),243,Q632212
46,partner,Mariko Yashida,,Q3293073
46,partner,Silver Fox,,Q2608804
46,partner,Native,,Q6979927
46,partner,Yukio,,Q8060735
46,partner,Mystique,,Q737236
46,partner,Domino,,Q59644
46,partner,Elektra,,Q913359
46,alternate_universe_counterpart,Wolverine,,Q112110379
46,alternate_universe_counterpart,Ultimate Wolverine,,Q7880273
46,alternate_universe_counterpart,Old Man Logan,,Q52413964
48,enemy,Peter Parker / Spider-Man,27,Q79037
5,enemy,Red Skull,,Q2034529
5,enemy,Baron Zemo,,Q2620643
5,enemy,Crossbones,,Q647315
5,enemy,Sin,,Q577086
5,enemy,Kingpin,19,Q1753322
5,enemy,Batroc the Leaper (Georges Batroc),63,Q2308669
5,enemy,Arnim Zola,,Q2663969
5,enemy,Helmut Zemo,,Q27986209
5,enemy,MODOK,,Q208927
5,enemy,Vermin,253,Q4010081
5,enemy,Viper,,Q568267
5,enemy,Doctor Faustus,,Q1447249
