work_id,source,publication,platform_scope,score,max_score,score_pct,review_count
62,GameSpot (DS),GameSpot,DS,6.0,10.0,60.0,
62,GameSpot (N-Gage),GameSpot,N-Gage,5.2,10.0,52.0,
62,GameSpot (PC),GameSpot,PC,5.0,10.0,50.0,
63,Metacritic (DS),Metacritic,DS,78.0,100.0,78.0,
63,Metacritic (GBA),Metacritic,GBA,62.0,100.0,62.0,
63,Metacritic (GC),Metacritic,GC,76.0,100.0,76.0,
63,Metacritic (PC),Metacritic,PC,75.0,100.0,75.0,
63,Metacritic (PS2),Metacritic,PS2,74.0,100.0,74.0,
63,Metacritic (Xbox),Metacritic,Xbox,77.0,100.0,77.0,
63,IGN,IGN,,8.4,10.0,84.0,
63,GameSpot,GameSpot,,7.1,10.0,71.0,
63,GameTrailers,GameTrailers,,8.9,10.0,89.0,
63,Game Informer,Game Informer,,8.0,10.0,80.0,
63,GameSpy,GameSpy,,4.0,5.0,80.0,
63,Nintendo Power (GC),Nintendo Power,GC,9.0,10.0,90.0,
63,PC Gamer,PC Gamer,,81.0,100.0,81.0,
65,Metacritic (DS),Metacritic,DS,79.0,100.0,79.0,
65,Metacritic (GBA),Metacritic,GBA,68.0,100.0,68.0,
65,Metacritic (X360),Metacritic,X360,63.0,100.0,63.0,
65,Metacritic (PC),Metacritic,PC,62.0,100.0,62.0,
65,Metacritic (PS3),Metacritic,PS3,60.0,100.0,60.0,
65,Metacritic (Wii),Metacritic,Wii,53.0,100.0,53.0,
65,Metacritic (PSP),Metacritic,PSP,52.0,100.0,52.0,
65,Metacritic (PS2),Metacritic,PS2,50.0,100.0,50.0,
65,IGN (DS),IGN,DS,8.1,10.0,81.0,
65,GameSpot (DS),GameSpot,DS,8.0,10.0,80.0,
65,GameSpot (PS3/X360),GameSpot,PS3/X360,6.6,10.0,66.0,
65,GameSpot (PC),GameSpot,PC,6.3,10.0,63.0,
65,GameSpot (GBA),GameSpot,GBA,6.9,10.0,69.0,
65,GameSpot (PS2/Wii),GameSpot,PS2/Wii,4.7,10.0,47.0,
65,Game Informer (PS3/X360),Game Informer,PS3/X360,8.0,10.0,80.0,
65,GamePro (PS3/X360),GamePro,PS3/X360,4.25,5.0,85.0,
66,Metacritic (PS2),Metacritic,PS2,62.0,100.0,62.0,
66,Metacritic (X360),Metacritic,X360,60.0,100.0,60.0,
66,Metacritic (Wii),Metacritic,Wii,59.0,100.0,59.0,
66,Metacritic (PSP),Metacritic,PSP,58.0,100.0,58.0,
66,Metacritic (PC),Metacritic,PC,57.0,100.0,57.0,
66,Metacritic (DS),Metacritic,DS,55.0,100.0,55.0,
66,GameRankings (PS2),GameRankings,PS2,63.64,100.0,63.64,
66,GameRankings (Wii),GameRankings,Wii,61.52,100.0,61.52,
66,GameRankings (PSP),GameRankings,PSP,60.8,100.0,60.8,
66,GameRankings (X360),GameRankings,X360,60.35,100.0,60.35,
66,GameRankings (PC),GameRankings,PC,59.62,100.0,59.62,
66,GameRankings (DS),GameRankings,DS,55.04,100.0,55.04,
66,IGN,IGN,,4.9,10.0,49.0,
66,GameSpot,GameSpot,,7.0,10.0,70.0,
66,GameSpy (X360/Wii),GameSpy,X360/Wii,4.0,5.0,80.0,
67,Metacritic (DS),Metacritic,DS,77.0,100.0,77.0,
67,Metacritic (PS3),Metacritic,PS3,67.0,100.0,67.0,
67,Metacritic (X360),Metacritic,X360,68.0,100.0,68.0,
67,Metacritic (Wii),Metacritic,Wii,63.0,100.0,63.0,
67,Metacritic (PC),Metacritic,PC,52.0,100.0,52.0,
67,GameRankings (DS),GameRankings,DS,79.0,100.0,79.0,
67,GameRankings (PS3),GameRankings,PS3,70.0,100.0,70.0,
67,GameRankings (X360),GameRankings,X360,68.0,100.0,68.0,
67,GameRankings (Wii),GameRankings,Wii,65.0,100.0,65.0,
67,GameRankings (PS2),GameRankings,PS2,69.0,100.0,69.0,
67,GameRankings (PSP),GameRankings,PSP,77.0,100.0,77.0,
67,GameRankings (PC),GameRankings,PC,54.0,100.0,54.0,
67,IGN (X360 US),IGN,X360 US,5.7,10.0,57.0,
67,IGN (DS),IGN,DS,8.0,10.0,80.0,
67,GameSpot (PS3/X360),GameSpot,PS3/X360,8.0,10.0,80.0,
67,GameSpot (DS),GameSpot,DS,7.0,10.0,70.0,
67,Game Informer,Game Informer,,6.5,10.0,65.0,
69,Metacritic (DS),Metacritic,DS,73.0,100.0,73.0,
69,Metacritic (PS3),Metacritic,PS3,74.0,100.0,74.0,
69,Metacritic (X360),Metacritic,X360,76.0,100.0,76.0,
69,Metacritic (Wii),Metacritic,Wii,75.0,100.0,75.0,
69,Metacritic (PC),Metacritic,PC,68.0,100.0,68.0,
69,Game Informer,Game Informer,,8.5,10.0,85.0,
69,GamePro,GamePro,,4.5,5.0,90.0,
69,GameSpot,GameSpot,,7.5,10.0,75.0,
69,IGN,IGN,,8.0,10.0,80.0,
69,GameTrailers,GameTrailers,,7.0,10.0,70.0,
69,Eurogamer,Eurogamer,,7.0,10.0,70.0,
69,Destructoid,Destructoid,,6.0,10.0,60.0,
70,Metacritic (3DS),Metacritic,3DS,50.0,100.0,50.0,
70,Metacritic (DS),Metacritic,DS,50.0,100.0,50.0,
70,Metacritic (PS3),Metacritic,PS3,58.0,100.0,58.0,
70,Metacritic (Wii),Metacritic,Wii,62.0,100.0,62.0,
70,Metacritic (X360),Metacritic,X360,57.0,100.0,57.0,
70,Destructoid,Destructoid,,5.0,10.0,50.0,
70,Game Informer,Game Informer,,6.5,10.0,65.0,
70,GameSpot,GameSpot,,6.0,10.0,60.0,
70,GamesRadar+,GamesRadar+,,3.0,5.0,60.0,
70,Giant Bomb,Giant Bomb,,2.0,10.0,20.0,
70,IGN,IGN,,4.5,10.0,45.0,
70,GameTrailers,GameTrailers,,5.4,10.0,54.0,
71,Metacritic (PS3),Metacritic,PS3,71.0,100.0,71.0,
71,Metacritic (X360),Metacritic,X360,69.0,100.0,69.0,
71,Metacritic (WiiU),Metacritic,WiiU,66.0,100.0,66.0,
71,Metacritic (iOS),Metacritic,iOS,66.0,100.0,66.0,
71,Metacritic (Wii),Metacritic,Wii,58.0,100.0,58.0,
71,Metacritic (3DS),Metacritic,3DS,55.0,100.0,55.0,
71,Metacritic (Vita),Metacritic,Vita,55.0,100.0,55.0,
71,IGN (PC/PS3/X360),IGN,PC/PS3/X360,7.0,10.0,70.0,
71,IGN (3DS),IGN,3DS,7.0,10.0,70.0,
71,IGN (Vita),IGN,Vita,4.8,10.0,48.0,
71,GameSpot (X360),GameSpot,X360,7.5,10.0,75.0,
71,Game Informer (PS3),Game Informer,PS3,6.75,10.0,67.5,
71,Eurogamer (PC/PS3/X360),Eurogamer,PC/PS3/X360,6.0,10.0,60.0,
71,Destructoid (X360),Destructoid,X360,7.0,10.0,70.0,
72,Metacritic (PS4),Metacritic,PS4,49.0,100.0,49.0,
72,Metacritic (XONE),Metacritic,XONE,46.0,100.0,46.0,
72,Metacritic (X360),Metacritic,X360,55.0,100.0,55.0,
72,Metacritic (PS3),Metacritic,PS3,57.0,100.0,57.0,
72,Metacritic (PC),Metacritic,PC,57.0,100.0,57.0,
72,Metacritic (WiiU),Metacritic,WiiU,58.0,100.0,58.0,
72,Metacritic (iOS),Metacritic,iOS,58.0,100.0,58.0,
72,IGN (PS4),IGN,PS4,5.4,10.0,54.0,
72,GameSpot,GameSpot,,5.0,10.0,50.0,
