show_work_id,season_number,episode_number,segment_index,title,writer,director
37,1,23,2,A Pumpkin Problem,Claudia Silver / Mike Kubat,
37,1,24,1,Catch and Release,Baljeet Rai & Claudia Silver / Henry Gifford,
37,1,24,2,Construction Destruction,Baljeet Rai & Claudia Silver / Henry Gifford,
37,1,25,1,Parade Panic,Alexa Harzan,
37,1,25,2,The Case of the Burgling Book Bandit,Alexa Harzan,
37,2,1,1,Electro's Gotta Glow,Mike Kubat,
37,2,1,2,Black Cat Chaos,Mike Kubat,
37,2,1,3,Spidey Team Transport to the Rescue,Mike Kubat,
37,2,2,1,Lights Out!,Mike Kubat,
37,2,2,2,Sandman Won't Share!,Mike Kubat,
37,2,2,3,Iron Man Lends a Hand,Mike Kubat,
37,2,3,1,Bootsie's Day Out,Claudia Silver / Sib Ventress,
37,2,3,2,Trouble at Tony's,Claudia Silver / Sib Ventress,
37,2,3,3,A Teeny Tiny Solution,Claudia Silver / Sib Ventress,
37,2,4,1,Sonic Boom Boom,Mike Kubat / Alexa Harzan,
37,2,4,2,Mini Golf Goof,Mike Kubat / Alexa Harzan,
37,2,4,3,A Dino Mite Friend,Mike Kubat / Alexa Harzan,
37,2,5,1,Li'l Hulk,Claudia Silver / Mike Kubat,
37,2,5,2,Surprise Party Surprise,Claudia Silver / Mike Kubat,
37,2,5,3,Hulk's Hangout,Claudia Silver / Mike Kubat,
37,2,6,1,Can't Stop Dancing,Bart Jennett,
37,2,6,2,The Ant Thief,Bart Jennett,
37,2,6,3,Red Light Green Light,Bart Jennett,
37,2,7,1,Sand Trapped,Mike Kubat / Claudia Silver,
37,2,7,2,Too Much Fun,Mike Kubat / Claudia Silver,
37,2,7,3,Hi Felicia,Mike Kubat / Claudia Silver,
37,2,8,1,Halted Holiday,Alexa Harzan,
37,2,8,2,Merry Spidey Christmas,Alexa Harzan,
37,2,8,3,When Ghosty Met TWIRL-E,Alexa Harzan,
37,2,9,1,An Egg-Cellent Adventure,Claudia Silver / Mike Kubat,
37,2,9,2,The Hangout Headache,Claudia Silver / Mike Kubat,
37,2,9,3,Practice Makes You Better,Claudia Silver / Mike Kubat,
37,2,10,1,Follow That Sea Monster!,Claudia Silver,
37,2,10,2,It's Bad to be Gooed,Claudia Silver,
37,2,10,3,Webs Up,Claudia Silver,
37,2,11,1,Liberty on the Loose,Alexa Harzan / Mike Kubat,
37,2,11,2,Green Goblin's Dino Disaster,Alexa Harzan / Mike Kubat,
37,2,12,1,Spidey Tidies Up,,
37,2,12,2,"Oh No, Tomatoes!",,
37,2,13,1,Clean Power,,
37,2,13,2,Doc Ock & The Rocktobots,,
37,2,14,1,Pirate Plunder Blunder,Claudia Silver,
37,2,14,2,Bad Bot,Claudia Silver,
37,2,15,1,Spin Saves the Day,Mike Kubat,
37,2,15,2,Water Woes,Mike Kubat,
37,2,16,1,Tunnel Trouble,,
37,2,16,2,Mystery on Goblin Island,,
37,2,17,1,The Maltese Kitten,Claudia Silver,
37,2,17,2,A Day With Black Panther,Claudia Silver,
37,2,18,1,The New Villain in Town,Mike Kubat / Claudia Silver,
37,2,18,2,Spidey Cat,Mike Kubat / Claudia Silver,
37,2,19,1,A Syrupy Solution,Mike Kubat,
37,2,19,2,"Little Ant, Big Problem",Mike Kubat,
37,2,20,1,Ock Tower,Claudia Silver / Mike Kubat,
37,2,20,2,Outsmarted by Art,Claudia Silver / Mike Kubat,
37,2,21,1,Super Scooter,,
37,2,21,2,The Lost Web Shooter,,
37,2,22,1,Catnap Caper,Daka Hermon,
37,2,22,2,Bunny Bonanza,Daka Hermon,
37,2,23,1,Dino-Rama,,
37,2,23,2,Daytime at Nighttime,,
37,2,24,1,Stolen WEB-Quarters,,
37,2,24,2,Spideys in Space!,,
37,2,25,1,Hide & Seek,Daka Hermon,
37,2,25,2,Whale of a Time,Daka Hermon,
37,2,26,1,Rollin Rhino,Mike Kubat,
37,2,26,2,The Octopus and the Kitty Cat,Mike Kubat,
37,2,27,1,Go With the Lava Flow,Mike Kubat / Alexa Harzan,
37,2,27,2,An UnBEElievable Rosh Hashanah,Mike Kubat / Alexa Harzan,
37,2,28,1,Bootsie's Haunted Adventure,Mike Kubat / Bart Jennett,
37,2,28,2,"Too Many Tricks, Not Enough Treats",Mike Kubat / Bart Jennett,
37,2,29,1,How to Train Your Doggy,Claudia Silver / Daka Hermon,
37,2,29,2,Dome Alone,Claudia Silver / Daka Hermon,
37,3,1,1,The Friendly Neighborhood,Greg Johnson,
37,3,1,2,Flight of the Butterflies,Greg Johnson,
37,3,1,3,"Tricks for You, Treats for Me",Greg Johnson,
37,3,2,1,Ock's Obey Ray,Alexa Harzan,
37,3,2,2,Lemur At Large,Alexa Harzan,
37,3,2,3,The New WQ,Alexa Harzan,
37,3,3,1,Tree Trouble,Daka Hermon,
37,3,3,2,Stuck In Space,Daka Hermon,
37,3,3,3,Zola Song,Daka Hermon,
37,3,4,1,Antarctic Adventure,Alexa Harzan,
37,3,4,2,"Let It Snowball, Let It Snowball, Let It Snowball",Alexa Harzan,
37,3,4,3,Web-Spinner Suits,Alexa Harzan,
37,3,5,1,Bubble Trouble,Daka Hermon / Greg Johnson,
37,3,5,2,Rainy River Run,Daka Hermon / Greg Johnson,
37,3,5,3,Thing and Herbie,Daka Hermon / Greg Johnson,
37,3,6,1,The Rhino and the Goose,Alexa Harzan,
37,3,6,2,Dog vs Cat,Alexa Harzan,
37,3,6,3,Web-Spinner Song,Alexa Harzan,
37,3,7,1,Journey Through Zola,Greg Johnson / Alexa Harzan,
37,3,7,2,Villaintine's Day,Greg Johnson / Alexa Harzan,
37,3,7,3,Do the Spidey,Greg Johnson / Alexa Harzan,
37,3,8,1,"Now You See Me, Now You Don't",,
37,3,8,2,Meet Squirrel Girl,,
37,3,8,3,Go Dino-Webs Go,,
37,3,9,1,Car-Tastrophe,Greg Johnson / Daka Hermon,
37,3,9,2,Sandman and the Tortoise,Greg Johnson / Daka Hermon,
37,3,9,3,Meet Lizard,Greg Johnson / Daka Hermon,
37,3,10,1,Tiny Car Caper,Alexa Harzan,
37,3,10,2,Tooth Fairy Tricks,Alexa Harzan,
37,3,10,3,Welcome White Tiger,Alexa Harzan,
37,3,11,1,Picture Perfect Pandemonium,Daka Hermon / Greg Johnson,
37,3,11,2,Catch That Panther Pod,Daka Hermon / Greg Johnson,
37,3,11,3,The Treehouse Twist,Daka Hermon / Greg Johnson,
37,3,12,1,Iron Zola,Alexa Harzan,
37,3,12,2,Aunt May's Birthday Blowout,Alexa Harzan,
37,3,13,1,"Freeze, It's Dock Ock!",Greg Johnson / Daka Hermon,
37,3,13,2,"Go, Go, Jeff",Greg Johnson / Daka Hermon,
37,3,14,1,Zola's Novel Idea,Alexa Harzan,
37,3,14,2,Greatest Hits,Alexa Harzan,
37,3,15,1,Go Dino-Webs Go!,Greg Johnson,
37,3,15,2,Ghost in the Museum,Greg Johnson,
37,3,16,1,Grow Webs Grow,Alexa Harzan,
37,3,16,2,Rio In Space,Alexa Harzan,
