person_id,occupation
215,manufacturer
215,director
216,stage actor
216,film actor
216,television actor
216,actor
216,film director
216,film producer
217,film director
217,screenwriter
217,motorcycle racer
217,television director
217,television producer
217,director
218,screenwriter
218,film producer
218,film director
218,executive producer
218,director
219,screenwriter
219,film director
219,writer
219,director
22,film actor
22,film director
22,screenwriter
22,actor
22,stage actor
22,television actor
220,film producer
221,composer
221,conductor
221,orchestrator
221,film score composer
221,musician
221,bandleader
222,cinematographer
223,film editor
224,film editor
224,film producer
225,screenwriter
225,film director
225,film producer
225,executive producer
225,showrunner
225,television producer
225,director
226,screenwriter
226,film producer
226,television producer
226,film director
227,television producer
227,screenwriter
227,executive producer
227,film producer
227,showrunner
227,director
228,composer
228,guitarist
228,pianist
228,record producer
228,film score composer
228,musician
23,television actor
23,film actor
23,character actor
23,stage actor
23,voice actor
23,actor
230,cinematographer
231,television actor
231,film actor
231,singer
231,voice actor
231,fashion model
231,dancer
232,actor
232,model
232,film actor
232,television actor
233,actor
233,screenwriter
233,songwriter
233,stand-up comedian
233,rapper
233,singer
233,record producer
233,disc jockey
233,television actor
233,film actor
233,film producer
233,voice actor
233,showrunner
233,television producer
233,television director
233,film director
233,musician
233,comedian
233,composer
234,film director
234,film producer
234,screenwriter
234,director
235,lawyer
235,screenwriter
235,film director
235,writer
235,director
235,film producer
236,actor
236,television actor
236,film actor
236,screenwriter
236,musician
236,film director
236,director
237,screenwriter
238,screenwriter
238,showrunner
238,television producer
238,film producer
238,writer
239,screenwriter
239,television producer
239,film producer
24,film actor
24,model
24,stage actor
24,television actor
24,singer
24,actor
240,film producer
240,executive producer
241,businessperson
241,entrepreneur
241,film producer
241,executive producer
242,composer
242,film score composer
242,music executive
242,film director
242,television director
242,television actor
242,video game actor
242,film screenwriter
242,film producer
243,cinematographer
244,film editor
245,film editor
246,television actor
246,film actor
246,stage actor
246,voice actor
246,screenwriter
246,video game actor
246,film producer
246,film director
246,actor
247,film director
247,screenwriter
247,storyboard artist
247,animator
247,film producer
247,director
247,visual artist
248,film director
